geoid10,avgtvioevt2018,avgtprpevt2018,rtavgtvioevt2018,rtavgtprpevt2018,tpop15,tpden15,condis15,tblack15,tasian15,tlatino15,twhite15,tothrac15,tethhet15,timm15,tage1529,tkids15,tsngpar15,tavghhinc15,tpov15,tpov12515,tunemp15,tedbach15,towner15,tavgval15,tmdval15,tavrent15,tmdrent15,trentburden15,tsfu15,tsmhse15,tvac15,propretail_emp15,propoffice_emp15,propother_emp15,propind_emp15,propent_emp15,propfoodetc_emp15,propedu_emp15,totjobs15,toxconc15,cscore15,ncscore15
17031842600,45,208.6666564942,108.30324554,502.2061462,4115,2896.5947,1.3669931,5.4921021,9.210207,33.219929,50.133659,1.9441071,62.642822,17.424059,21.324423,35.897434,11.076923,66738.406,16.190475,18.437119,13.045357,17.995911,53.494808,222055.63,198900,776.58612,951,36.555889,34.445118,85.647583,12.371132,.069415718,.073940024,.10767838,.72375906,0,.020682523,.0045243017,7736,17678.301,27159.4,1201.79
17031842800,53.0000038147,147.3333282471,76.63389587,213.0325775,7420,12671.895,12.133881,1.06469,5.4043126,89.55526,3.2749324,.70080864,19.382994,48.396225,21.981133,61.713932,22.872995,41668.695,37.596848,43.849396,10.863788,5.9266229,45.73111,183702.8,176200,722.93579,896,76.055046,14.188615,83.235497,13.423958,.18126889,.07794562,.049546827,.63021147,0,.056797583,.0042296071,1655,25721.301,46067.801,1605.23
17031842900,57,190.666671753,210.2545166,703.3075562,2050,2404.342,13.906432,69.365852,4.1951222,11.073171,13.463415,1.9024391,48.632816,8.1463413,24.341465,59.431526,52.713177,42668.727,36.292683,42.390244,7.6496673,15.985663,15.76655,,206600,502.71445,567,46.206116,5.6956878,82.032402,6.5907211,.12107133,.10303362,.42935228,.30445477,0,.02978956,.012298442,3659,22116.301,29037.1,654.46301
17031843000,139,232.3333282471,557.33758545,931.5690918,2689,6538.4541,20.666983,96.281143,0,1.7106731,0,2.0081813,7.2298155,1.4875418,27.37077,67.647057,62.975777,30604.822,47.168404,60.134129,16.132597,8.2701063,12.004288,144062.5,109400,670.98767,880,64.416313,3.990025,82.37986,22.443893,.038694993,.0053110775,.31790593,.35280728,0,.18664643,.098634295,1318,25725.6,27359.4,875.55103
17031843100,61.0000038147,89.3333282471,420.98001099,616.5170898,1742,4455.2754,12.550583,87.313431,0,2.0091848,8.3811712,2.2962112,22.968113,1.2055109,20.063145,47.169811,33.692722,45096.438,32.784809,51.582279,7.6672106,16.857143,23.762377,170166.67,121800,713.79309,984,79.551819,9.7629013,85.889931,29.567642,.025641026,.014652015,.46886447,0,0,0,.49084249,273,20834.801,18032.199,523.68103
17031843200,26,81.3333358765,115.50421906,361.3208923,2250,1842.9357,4.2899208,3.3777778,1.5111111,76.044449,17.866667,1.2,38.828915,35.466667,24.933332,46.220303,23.758099,56286.625,18.356409,26.663689,8.5418463,29.519596,28.834356,260102.13,236800,733.85687,872,35.188511,14.07334,84.739677,19.226959,.060263954,.041978057,.28223884,.57465416,.017172841,.0071553504,.01653681,6289,18809.699,32764.801,985.26398
17031843300,25.33333206177,83,147.88868713,484.5300598,2144,9504.3633,10.712727,54.710823,.79291046,35.774254,8.6753731,.046641789,56.510357,18.376865,28.008396,62.985073,26.865671,55441.762,45.904854,55.370281,15.134529,16.041979,25.282167,160223.22,160200,817.52264,956,47.648903,10.387324,64.494804,22.007042,0,.0042968751,.88398439,.052343749,0,.05859375,.00078125001,2560,19694.199,3721.03,102.114
17031843400,51.33333206177,92.3333282471,372.25042725,669.5672607,1254,4949.811,14.903051,67.703346,1.1164274,20.015949,3.8277512,7.3365235,49.458958,6.6188197,27.511961,35.9375,30.078125,34893.496,40.590111,50.797447,10.517799,7.4829931,40.358746,116448.34,101800,672.44092,667,65.983604,26.306913,90.208664,24.789207,.23943663,.04225352,.084507041,.61971831,0,.014084507,0,284,61755.5,24828.5,1395.51
17031843500,20.66666793824,112.3333358765,19.36350441,105.2500076,10079,12842.558,11.058716,66.762581,.45639449,24.119455,8.6615734,0,48.857788,9.9910707,52.783016,42.396313,16.129032,41570.668,29.417294,38.721806,7.5471697,2.5085697,42.333332,142913.39,138300,611.875,767,46.875,16.811594,34.901531,13.04348,.022414824,.0053795576,.36551106,.54961145,0,.054991033,.0020920502,3346,21741.699,50808.699,1557.49
17031843600,34.99999618531,135,116.93951416,451.0524597,2822,17787.951,6.1923523,89.759033,.85046065,4.1105599,2.4450743,2.8348689,19.11681,6.3075833,20.588236,61.525131,50.433277,65608.117,28.313253,36.640682,24.717285,38.05014,14.490446,267527.47,266400,884.86841,1040,58.548706,4.4816055,61.067616,15.986626,.40160644,.056224901,.11646587,.012048192,0,.35341364,.060240965,249,13840.4,7962.6099,250.20599
17031843700,10.33333396912,64.6666641236,43.49046326,272.1661072,2549,5226.8535,-20.242968,1.9615535,5.610043,26.677128,61.435856,4.3154178,54.600235,20.321695,16.378973,58.392857,7.5,158087.33,4.8646526,7.3754416,4.2390547,53.031162,62.305298,538828.31,447300,1133.0579,1264,39.118458,30.776892,82.475052,4.0836639,.069244601,.41157076,.060251798,.38729018,.0089928061,.054856114,.007793765,3336,26901.6,26587.301,1440.52
